,title,date,result,explain,tag
0,羊驼抗体能够消灭新型冠状病毒,2020-05-08,疑,尚无定论,"['羊驼', '新型冠状病毒']"
1,印度使用挖掘机活埋新冠病毒感染者,2020-05-07,假,谣言,"['印度', '非洲']"
2,日本诺奖得主本庶佑称新冠病毒是中国实验室制造,2020-05-05,假,谣言,"['日本', '新冠病毒']"
3,世界卫生组织5月1日重申新冠病毒源自自然界,2020-05-02,真,确有此事,"['新冠病毒', '世界卫生组织']"
4,泰国猫咪疫情期间违反外出禁令被捕，“罪犯照”流出,2020-05-01,假,假新闻,"['泰国', '猫']"
5,已有抗体的新冠肺炎治愈者不会再次感染,2020-04-30,疑,尚无定论,"['抗体', '新型冠状病毒']"
6,吸烟者可能较易感染新型冠状病毒,2020-04-29,真,确实如此,"['吸烟者', '新型冠状病毒']"
7,儿童佩戴N95口罩可能会造成不可逆伤害,2020-04-28,真,确实如此,"['N95口罩', '儿童']"
8,英国新冠疫苗人体试验先行者Elisa已死亡,2020-04-28,假,谣言,"['新冠肺炎', '疫苗']"
9,王辰院士表示中国已决定实行“群体免疫”,2020-04-28,假,谣言,"['群体免疫', '新冠肺炎']"
10,全国31省市摘口罩时间表公布,2020-04-26,假,谣言,"['新冠肺炎', '口罩']"
11,商务部对外贸易司指定5家企业生产出口医疗物资,2020-04-25,假,谣言,"['医用物资', '出口']"
12,脚上起“水痘”、失去嗅觉和味觉，是新冠新症状,2020-04-24,疑,尚无定论,"['新型冠状病毒', '水痘']"
13,新冠肺炎的R0是5.7，高于常见的流行病,2020-04-23,疑,尚无定论,"['新冠肺炎', '传染病']"
14,钟南山说过“五月份疫情将全面爆发”,2020-04-22,假,谣言,"['钟南山', '新型冠状病毒']"
15,组合用羟氯喹阿奇霉素和硫酸锌能有效治疗新冠肺炎,2020-04-21,疑,尚无定论,"['新型冠状病毒', '羟氯喹']"
16,美国纽约殡葬公司员工累倒午睡，被同事误当尸体火化,2020-04-20,假,假新闻,"['美国', '纽约']"
